web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw,rooms,area,price
1662023755-900,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=20,"3,5 Zimmer, 123 m², CHF 3350.—","8620 Wetzikon ZH, ZH",CHF 3350.—,"«LUXURIÖS, AN SCHÖNSTER LAGE»","3,5 Zimmer, 123 m², CHF 3350.—8620 Wetzikon ZH, ZH«LUXURIÖS, AN SCHÖNSTER LAGE»Dieses repräsentative Luxusobjekt an allerbester Lage, das an die Landwirtschaftszone grenzt, lässt keine Wünsche offen. Die hochwertige Wohnung bietet höchsten Komfort durch den einzigartigen Ausbau mit Materialien wie Marmor und Birnenholz und überzeugt mit einem grosszügigen Grundriss. Zwei Balkone und eine nach Südwesten ausgerichtete, nicht einsehbare Dachterrasse ermöglichen eine herrliche Aussicht auf das Naherholungsgebiet und die Alpen. Neben der Wohnung hat die Villa viel zu bieten. So können die Sauna, der Fitnessraum und die gepflegAnbieter kontaktierenKontaktieren",3.5,123,3350
1662023733-725,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=27,"2,5 Zimmer, 55 m², CHF 1490.—","Wülflingerstrasse 48, 8400 Winterthur, ZH",CHF 1490.—,«RENOVIERT MIT GARTENSITZPLATZ»,"2,5 Zimmer, 55 m², CHF 1490.—Wülflingerstrasse 48, 8400 Winterthur, ZH«RENOVIERT MIT GARTENSITZPLATZ»Die im 2018 komplett renovierte 2.5-Zimmer-Dachwohnung lässt keine Wünsche übrig. Durch die zentrale Lage sind öffentliche Verkehrsmittel, Restaurationsbetriebe sowie Einkaufsmöglichkeiten innert wenigen Gehminuten erreichbar. Zudem stehen Ihnen Möglichkeiten zur aktiven Erholung zur Verfügung, wie Sportplätze oder Spaziergänge in der Nähe. Die Wohnung hat einen eignen Gartensitzplatz in einem schönen Garten. Ausserdem kann auch eine Gemüsefläche zugeteilt werden. Abgerundet wird das Ganze durch die hellen Räumlichkeiten. Treten Sie ein!Dieses",2.5,55,1490
1662023720-644,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=31,"4 Zimmer, 80 m², CHF 1965.—","Burstwiesenstr. 16, 8606 Greifensee, ZH",CHF 1965.—,«Greifensee: Das Naherholungsgebiet»,"4 Zimmer, 80 m², CHF 1965.—Burstwiesenstr. 16, 8606 Greifensee, ZH«Greifensee: Das Naherholungsgebiet»Wir vermieten nach Vereinbarung eine zentral gelegene 4.0-Zimmer-Wohnung mit folgenden Eckdaten:- Alle Zimmer mit Parkettboden- Küche und Bad mit Plattenboden- Moderne, offene Küche mit Geschirrspüler und Glaskeramik- Badezimmer mit Badewanne- Reduit- Balkon- Haustiere mit Bewilligung erlaubt - Ideale Verkehrsanbindung- Greifensee in wenigen Gehminuten erreichbar- Naherholungsgebiet in unmittelbarer Nähe- Weitere Infos zur Überbauung auf www.muellerwis.ch Einstellplätze à CHF 125.00/Monat oder Aussenabstellplätze à CHF 50.00/Monat können dazu gAnbieter kontaktierenKontaktieren",4.0,80,1965
1662023789-1164,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=9,"2,5 Zimmer, 58 m², CHF 1780.—","Nansenstrasse 7, 8050 Zürich, ZH",CHF 1780.—,«Befristet bis 30.11.2023 - Zentrale Wohnung in Oerlikon»,"2,5 Zimmer, 58 m², CHF 1780.—Nansenstrasse 7, 8050 Zürich, ZH«Befristet bis 30.11.2023 - Zentrale Wohnung in Oerlikon»In Zürich-Oerlikon an der Nansenstrasse 7, vermieten wir per 01.12.2022 eine schöne Wohnung im 4. Stock befristet bis 30.11.2023.Die Wohnung ist ausgestattet mit:- Parkett in Wohn- und Schlafzimmer- Separate Küche- Bad / WC- Gemütlicher Balkon- Separates Kellerabteil- Zentrale Lage- Bahnhof Zürich-Oerlikon in unmittelbarer NäheDas Züri 11 Shopping und viele weitere Einkaufsmöglichkeiten sowie verschiedene Gastronomieangebote befinden sich in unmittelbarer Nähe.Die Bilder können von der angebotenen Wohnung abweichen.Wir freuen uns auf Ihre KontaNeuAnbieter kontaktierenKontaktieren",2.5,58,1780
1662023739-782,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=25,"1 Zimmer, 34 m², CHF 850.—","Bergacherstrasse 4, 8630 Rüti ZH, ZH",CHF 850.—,«Klein aber fein!»,"1 Zimmer, 34 m², CHF 850.—Bergacherstrasse 4, 8630 Rüti ZH, ZH«Klein aber fein!»Wir vermieten in Rüti per 01.09.2022 oder nach Vereinbarung eine helle und ruhige 1.0-Zimmerwohnung im Erdgeschoss mit Gartensitzplatz. Die Überbauung liegt in einer gemütlichen Umgebung und zeichnet sich mit folgenden Merkmale aus:- Parkettboden im Wohnzimmer- Separate Küche- grosszügiger Balkon vorhanden- Kellerabteil vorhandenEin Aussenabstellplatz für CHF 60.00/Mt. kann dazu gemietet werden.Wir freuen uns auf Ihre Kontaktaufnahme. >Bei den inserierten Fotos handelt es sich um typenähnliche Bilder, weshalb die tatsächliche Ausstattung abweicAnbieter kontaktierenKontaktieren",1.0,34,850
1662023707-540,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=35,"3,5 Zimmer, 78 m², CHF 1680.—","Aronenweg 9, 8618 Oetwil am See, ZH",CHF 1680.—,«Gemütliche Wohnung zum Wohlfühlen»,"3,5 Zimmer, 78 m², CHF 1680.—Aronenweg 9, 8618 Oetwil am See, ZH«Gemütliche Wohnung zum Wohlfühlen»Wir vermieten diese grosszügige 3½-Zimmerwohnung im schönen Oetwil am See.Die familienfreundliche Gartensiedlung befindet sich in der Nähe vom Bahnhof Oetwil am See, Schulen und Kindergärten.Zürich erreichen Sie innert 30 Minuten über die Forchstrasse, welche in wenigen Fahrminuten erreichbar ist.Die lichtdurchflutete Wohnung bietet Ihnen folgende Annehmlichkeiten:Ganze Wohnung mit ParkettbodenbelagKüche mit KeramikplattenbodenOffene Küche mit praktischem Essplatz. Die Küche ist mit Glaskeramikherd, Geschirrspüler und grossem Kühlschrank mit seAnbieter kontaktierenKontaktieren",3.5,78,1680
1662023707-538,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=35,"2,5 Zimmer, 75 m², CHF 1960.—","Pilatusstrasse 14, 8330 Pfäffikon ZH, ZH",CHF 1960.—,«Ein toller Start ins eigene Wohnglück»,"2,5 Zimmer, 75 m², CHF 1960.—Pilatusstrasse 14, 8330 Pfäffikon ZH, ZH«Ein toller Start ins eigene Wohnglück»Per 01.11.2022 vermieten wir diese helle und schöne 2.5-Zimmerwohnung in Pfäffikon ZH.Die Wohnung bietet Ihnen folgende Annehmlichkeiten:Wohnzimmer und Schlafzimmer mit ParkettbodenKüche und Badezimmer mit dunklem PlattenbodenGrosses Wohnzimmer mit viel TageslichtHelles und geräumiges SchlafzimmerModerne Küche mit Glaskeramikherd, Geschirrspüler, Backofen und ausreichend Stauraum für Ihre KüchenutensilienBadezimmer mit WC, Lavabo, Spiegelschrank und DuscheGrosser Balkon für gemütliche SonnenstundenTrockenraum zur MitbenutzungEigenes KellerabteiAnbieter kontaktierenKontaktieren",2.5,75,1960
1662023730-704,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=28,"4,5 Zimmer, 100 m², CHF 1880.—","Dorfstrasse 84, 8954 Geroldswil, ZH",CHF 1880.—,«Auf zwei Etagen verteilt»,"4,5 Zimmer, 100 m², CHF 1880.—Dorfstrasse 84, 8954 Geroldswil, ZH«Auf zwei Etagen verteilt»Die Maisonette-Wohnung ist auf zwei Etagen untergebracht. Sie verfügt über drei Schlafzimmer, einem Balkon sowie einem Wohnzimmer mit ausserordentlicher Architektur, welche ein helles und befreiendes Raumgefühl verschafft. Die separate Küche verfügt über einen Keramikkochherd, Backofen sowie Abwaschmaschine. Das Wohnzimmer besitzt einen Schwedenofen für heimelige Abende. Ein WC / Badezimmer sowie ein separates WC / Dusche steht auch zur Verfügung. Der herrliche Garten kann mitbenutzt werden. Interesse geweckt? Dann kommen Sie vorbei, Sie sind hNeu",4.5,100,1880
1662023771-1023,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=15,"4 Zimmer, 90 m², CHF 2030.—","Soodstrasse 13, 8134 Adliswil, ZH",CHF 2030.—,«Wohnen in Mitten von Adliswil»,"4 Zimmer, 90 m², CHF 2030.—Soodstrasse 13, 8134 Adliswil, ZH«Wohnen in Mitten von Adliswil»Die charmante Wohnung verfügt über einen Laminatboden in den vier Zimmern und Korridor. Die Wände sind frisch gestrichen.Die Küche und das Bad sind mit Platten verlegt. Zudem wurden die Küche sowie das Bad im Jahr 2017 renoviert.Der Besichtigungstermin findet am Mittwoch, 31. August 2022 von 16.30 - 17.00 statt. Bitte klingeln Sie bei Derrer.",4.0,90,2030
1662023767-998,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=16,"3,5 Zimmer, 81 m², CHF 1900.—","Steinmürlistrasse 42, 8953 Dietikon, ZH",CHF 1900.—,«Attraktive Wohnung mit Cheminée»,"3,5 Zimmer, 81 m², CHF 1900.—Steinmürlistrasse 42, 8953 Dietikon, ZH«Attraktive Wohnung mit Cheminée»Wir vermieten in ruhiger und familienfreundlicher Überbauung diese moderne, lichtdurchflutete 3.5-Zimmerwohnung, die Ihnen die folgenden Annehmlichkeiten zu bieten hat:- Wohnzimmer mit Parkettboden- zwei Schlafzimmer mit Laminatboden- Korridor mit Einbauschrank- abgeschlossene, helle Küche- mit Geschirrspüler- und Glaskeramikherd- Bad/WC- sonniger Balkon- KellerabteilEs handelt sich um Musterbilder, welche lediglich den Ausbaustandard zeigen. Die genaue Raumaufteilung entnehmen Sie bitte dem Grundrissplan.Bei Bedarf kann ein Einstellplatz für CAnbieter kontaktierenKontaktieren",3.5,81,1900
1662023793-1200,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=8,"3,5 Zimmer, 75 m², CHF 2125.—","Obere Leihofstrasse 13, 8820 Wädenswil, ZH",CHF 2125.—,«MIETEN OHNE KAUTION - Grosszügige Wohnung Sitzplatz»,"3,5 Zimmer, 75 m², CHF 2125.—Obere Leihofstrasse 13, 8820 Wädenswil, ZH«MIETEN OHNE KAUTION - Grosszügige Wohnung Sitzplatz»Wir vermieten per 16. September 2022 oder nach Vereinbarung diese neu sanierte 3.5 Zimmer-Wohnung mit schöner Aussicht.Auf diese Highlights können Sie sich freuen:- Sanierung 2022- Offene Küche mit modernen Elektrogeräte und Geschirrspüler und Waschturm- Bad/WC mit Plattenboden- Wohn- und Schlafbereich mit Parkettböden- Sonniger Sitzplatz- Einstellplatz à CHF 130.-/Monat je nach Verfügbarkeit anmietbar- Ruhige Lage (Sackgasse)- Gepflegte Überbauung mit vielen Grünflächen- Bus-Haltestelle in der NäheHaben wir Ihre Neugier geweckt? Wir freuen unsVirtuelle TourAnbieter kontaktierenKontaktieren",3.5,75,2125
1662023692-420,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=40,"2,5 Zimmer, 58 m², CHF 1540.—","Zürcherstrasse 10, 8193 Eglisau, ZH",CHF 1540.—,"«Ideal für Jung und Alt, Single- und Paarhaushalte»","2,5 Zimmer, 58 m², CHF 1540.—Zürcherstrasse 10, 8193 Eglisau, ZH«Ideal für Jung und Alt, Single- und Paarhaushalte»ERSTVERMIETUNG ""IM ZÄNI""Grosszügige und helle 1 -Zimmer-Studios, 2.5 -Zimmer und 3.5 Zimmer Wohnungen mit Balkon oder Sitzplatz.Sie möchten mehr erfahren?Besuchen Sie uns auf unserer Webseite www.im-zaeni.chBesichtigungstermine: Sie sind herzlich willkommen an folgenden Tagen und Uhrzeiten die Wohnungen zu besichtigen:- Montag, 29. August 2022: 11.00 - 13.00 Uhr- Freitag, 2. September 2022: 12.00 - 13.30 Uhr- Montag, 5. September 2022: 16.00 - 17.30 Uhr- Donnerstag, 8. September 2022: 09.30 - 11.00 UhrSchauen Sie ungeniert vorbei - wir freuen u",2.5,58,1540
1662023764-980,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=17,"3 Zimmer, 52 m², CHF 1600.—","Wehntalerstrasse 223, 8057 Zürich, ZH",CHF 1600.—,«Gemütliche Wohnung in Stadtnähe»,"3 Zimmer, 52 m², CHF 1600.—Wehntalerstrasse 223, 8057 Zürich, ZH«Gemütliche Wohnung in Stadtnähe»Wir vermieten eine gemütliche Wohnung an ruhiger Lage mit folgender Ausstattung:Helles Wohnzimmer mit Parkettboden und BalkonAlle Schlafzimmer mit ParkettbodenOffene Küche mit FensterKorridor mit KlinkerbodenBad/WC mit BadewanneSeparates KellerabteilWaschraum & Veloraum zur MitbenützungSitzplatz mit Blick ins GrüneUmgebung / DiversesDie Liegenschaft ist zentral gelegen und befindet sich in der Nähe einer Bushaltestelle, diverse Einkaufsmöglichkeiten befinden sich in der Umgebung.Bei den Bildern handelt es sich um Musterbilder. Sie können AbweicAnbieter kontaktierenKontaktieren",3.0,52,1600
1662023711-561,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=34,"1 Zimmer, 19 m², CHF 1100.—","Schulstrasse 26a, 8330 Pfäffikon ZH, ZH",CHF 1100.—,«WG-Zimmer im Herzen von Pfäffikon»,"1 Zimmer, 19 m², CHF 1100.—Schulstrasse 26a, 8330 Pfäffikon ZH, ZH«WG-Zimmer im Herzen von Pfäffikon»WG-Zimmer im Herzen von PfäffikonWir vermieten per 1. Oktober 2022 oder nach Vereinbarung dieses möblierte WG-Zimmer im Herzen von Pfäffikon. Das möblierte Zimmer verfügt über eine eigene Dusche und Lavabo. sowie ein eigenes WC. Das Wohnzimmer, die Küche sowie der Hauswirtschaftsraum (teils möbliert) werden gemeinschaftlich genutzt.Gerne stehen wir Ihnen bei Fragen oder für einen Besichtigungstermin zur Verfügung.",1.0,19,1100
1662023720-634,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=31,"4 Zimmer, 87 m², CHF 1690.—","Blumenbergstrasse 7, 8633 Wolfhausen, ZH",CHF 1690.—,«Sehr grosse 4 Zimmer Wohnung»,"4 Zimmer, 87 m², CHF 1690.—Blumenbergstrasse 7, 8633 Wolfhausen, ZH«Sehr grosse 4 Zimmer Wohnung»Die moderne Wohnung ist sehr gemütlich ausgestattet. schöne Küche mit Glaskeramikherd, Geschirrspülmaschine & Naturstein poliertModernes Badezimmer mit eigenem WaschturmKüche und Badezimmer mit wunderschönen Steinplatten, Wohnzimmer mit pflegeleichtem Parkett und Schlafzimmer mit modernem Laminatschöner Gartensitzplatzkurze Distanzen zum Einkaufen, Schule und Freizeitverkehrgünstige, ruhige & grüne Lageeigener Parkplatz (CHF 70.00) kann dazugemietet werdenÜberzeugen Sie sich selbst und vereinbaren Sie heute noch einen unverbindlichen BesichtiguAnbieter kontaktierenKontaktieren",4.0,87,1690
1662023730-701,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=28,"3,5 Zimmer, 89 m², CHF 2080.—","Pfruendmattstrasse 11, 8932 Mettmenstetten, ZH",CHF 2080.—,«Komfortabel wohnen an idyllischer Lage»,"3,5 Zimmer, 89 m², CHF 2080.—Pfruendmattstrasse 11, 8932 Mettmenstetten, ZH«Komfortabel wohnen an idyllischer Lage»Moderne und stilvolle Ausstattung, attraktiver Grundriss, ruhige Wohnlage: Diese Vorzüge machen die Wohnung zu einem begehrten Ort zum Leben und Sein. Die idyllische Umgebung wird Ihnen gefallen, wenn Ihnen städtische Hektik nicht zusagt. Einkaufsmöglichkeiten und der Bahnhof Mettmenstetten sind innert wenigen Gehminuten erreichbar. Für Ihre Wohnqualität: - Moderner Innenausbau - Wohn- und Schlafzimmer mit Parkett- Offene Küche mit Chromstahlabdeckung - Combi-Steamer, Glaskeramikkochfeld und Geschirrspüler - Badezimmer/WC mit Waschmaschine und",3.5,89,2080
1662023767-1007,https://www.immoscout24.ch/de/wohnung/mieten/kanton-zuerich?pn=16,"1 Zimmer, 15 m², CHF 1240.—","Baumackerstrasse 47, 8050 Zürich, ZH",CHF 1240.—,«Wohnen in Mitten von Zürich-Oerlikon»,"1 Zimmer, 15 m², CHF 1240.—Baumackerstrasse 47, 8050 Zürich, ZH«Wohnen in Mitten von Zürich-Oerlikon»Wohnen in Mitten von Zürich-OerlikonDieses Studio befindet sich in unmittelbarer Nähe vom Bahnhof Oerlikon im 4. OG eines Mehrfamilienhauses.Das Studio verfügt über eine neue Küchenzeile in weiss mit 2er Kochfeld und einem Kühlschrank mit integriertem Gefrierfach.Das Badezimmer ist mit einer Dusche, Waschbecken, Spiegelschrank und Toilette ausgestattet. Das Zimmer ist mit einem Eichenparkett ausgestattet. Haben wir Ihr Interesse geweckt? Dann kontaktieren Sie uns noch heute.Neu",1.0,15,1240
